name,state_abbr,lat,long,pop_estimate_2022,county_fips,division,full_name,place_fips,sum_lev,lsadc,display_name,address,url,highest_score,contact_place_id
Chandler,AZ,33.2827655,-111.8518187,275987,,8,Chandler city,12000,160,25,City of Chandler,"175 S Arizona Ave, Chandler, AZ 85225, USA",http://www.chandleraz.gov,0.641025641025641,6542a30ea129cb65b87a475b
Conway,SC,33.8386652,-79.042966,24849,,5,Conway city,16405,160,25,City of Conway,"229 N Main St, Conway, SC 29526, USA",https://www.conwaysc.gov/,0.76,6542a2e8a129cb65b87a03af
Westmoreland,VA,38.109311,-76.8039326,18477,193,5,Westmoreland County,,50,6,Westmoreland County,"111 Polk St, Montross, VA 22520, USA",https://www.westmoreland-county.org/,0.9189189189189189,6542a370a129cb65b87b32e8
Attalla City School District,AL,34.0107903,-86.0984098,1538,,6,Attalla City School District,180,970,0,Attalla City School District,"101 Case Ave, Attalla, AL, 35954",https://www.attalla.k12.al.us/,0.8108108108108107,65a603f5c769fa16f6591569
University of New Mexico Health System,nm,35.088,-106.618,,,,University of New Mexico Health System,,360,,University of New Mexico Health System,,https://unmhealth.org/,0.6363636363636364,6542a31ca129cb65b87a7081
Copper River School District,AK,62.4400812,-144.9127936,400,,9,Copper River School District,70,970,0,Copper River School District,"1976 Aurora Dr, Glennallen, AK, 99588",http://www.crsd.us,0.6842105263157895,6542a34ca129cb65b87ad6d5
Clay County School District,AL,33.2705962,-85.8265259,1784,,6,Clay County School District,750,970,0,Clay County School District,"62 Court Square, Ashland, AL, 36251",https://www.claycoboe.org/,0.7692307692307692,65a603f5c769fa16f65914ca
Phillips,AR,34.4236874,-90.8555931,16568,107,7,Phillips County,,50,6,Phillips County,,https://portal.arkansas.gov/counties/phillips/,1.0,65a603f5c769fa16f6591535
Chickasaw City School District,AL,30.7648397,-88.0836878,2654,,6,Chickasaw City School District,188,970,0,Chickasaw City School District,"201 N Craft HWY, Chickasaw, AL, 36611",https://www.chickasawschools.com/,0.6666666666666667,6596ece9280c2e17d827a131
Cherokee County School District,AL,34.1882916,-85.6315137,3886,,6,Cherokee County School District,630,970,0,Cherokee County School District,"130 E Main St, Centre, AL, 35960",https://www.cherokeek12.org/,0.6785714285714286,6542a322a129cb65b87a84a8
Fayetteville,AR,36.0714549,-94.1665644,93949,,7,Fayetteville city,23290,160,25,City of Fayetteville,"113 W Mountain St, Fayetteville, AR 72701, USA",https://www.fayetteville-ar.gov/,0.7111111111111111,65a603f5c769fa16f65915ee
Mount Pleasant,SC,32.8083816,-79.8650382,90801,,5,Mount Pleasant town,48535,160,43,Town of Mount Pleasant,"100 Ann Edwards Ln, Mt Pleasant, SC 29464, USA",http://www.tompsc.com,0.7391304347826086,65a603f5c769fa16f6591445
Myrtle Beach,SC,33.7103895,-78.8860241,35682,,5,Myrtle Beach city,49075,160,25,City of Myrtle Beach,"937 Broadway St, Myrtle Beach, SC 29577, USA",https://www.cityofmyrtlebeach.com/,0.7727272727272727,6542a346a129cb65b87acd9e
Smyth,VA,36.8423183,-81.5397861,29800,173,5,Smyth County,,50,6,Smyth County,"75 W Main St, Marion, VA 24354, USA",http://www.smythcounty.org,0.7692307692307692,6542a2eaa129cb65b87a06ac
Tarrant,TX,32.7721191,-97.2912241,2110640,439,7,Tarrant County,,50,6,Tarrant County,,https://www.tarrantcountytx.gov,0.71875,6542a322a129cb65b87a8270
Pleasant Grove,AL,33.4939687,-86.9781455,9544,,6,Pleasant Grove city,61008,160,25,City of Pleasant Grove,"501 Park Rd, Pleasant Grove, AL 35127, USA",http://www.cityofpg.com,1.0,65a603f5c769fa16f6591445
Alabaster,AL,33.2443986,-86.8473723,33284,,6,Alabaster city,820,160,25,City of Alabaster,"1953 Municipal Way, Alabaster, AL 35007, USA",http://www.cityofalabaster.com,0.7333333333333334,6542a31fa129cb65b87a78c4
Allen,TX,33.1097362,-96.6730316,104627,,7,Allen city,1924,160,25,City of Allen,"305 Century Pkwy, Allen, TX 75013, USA",http://www.cityofallen.org,0.8387096774193549,6542a2e8a129cb65b87a0389
Calhoun,SC,33.6747804,-80.7803468,14119,17,5,Calhoun County,,50,6,Calhoun County,"102 Courthouse Dr #108, St Matthews, SC 29135, USA",https://calhouncounty.sc.gov/,0.7586206896551724,6542a30ba129cb65b87a3f69
Chester,SC,34.6893424,-81.1612488,32294,23,5,Chester County,,50,6,Chester County,"1476 J A Cochran Bypass, Chester, SC 29706, USA",https://www.chestercountysc.gov/,0.8205128205128205,6542a30ea129cb65b87a494e
Chickasaw,AL,30.7714495,-88.0796971,6457,,6,Chickasaw city,14392,160,25,City of Chickasaw,,https://cityofchickasaw.org,0.7941176470588236,6542a30fa129cb65b87a4a32
Frederick,VA,39.2036601,-78.2638291,91419,69,5,Frederick County,,50,6,Frederick County,"107 N Kent St, Winchester, VA 22601, USA",http://www.fcva.us,0.6842105263157895,6542a34ca129cb65b87ad6d5
Gloucester,VA,37.4035413,-76.5235051,38711,73,5,Gloucester County,,50,6,Gloucester County,,https://gloucesterva.gov/,0.78125,6542a321a129cb65b87a7e7f
Alexander,AR,34.6185624,-92.4512194,3385,,7,Alexander city,580,160,25,City of Alexander,"15605 Alexander Rd, Alexander, AR 72002, USA",http://www.cityofalexander.org/,0.7741935483870968,6542a322a129cb65b87a84a8
Alamo,TX,26.1810509,-98.1177003,19493,,7,Alamo city,1576,160,25,City of Alamo,"420 N Tower Rd, Alamo, TX 78516, USA",https://alamotexas.org/,0.6956521739130435,6542a2e8a129cb65b87a01d3
Pulaski,VA,37.0527704,-80.7619186,8985,,5,Pulaski town,64880,160,43,Town of Pulaski,"42 1st St NW, Pulaski, VA 24301, USA",http://www.pulaskitown.org,0.7741935483870968,6542a357a129cb65b87af057
Westminster,SC,34.6665562,-83.0906578,2353,,5,Westminster city,76165,160,25,City of Westminster,"100 E Windsor St, Westminster, SC 29693, USA",https://westminstersc.org/,0.7222222222222222,6542a370a129cb65b87b32d1
Alexander City City School District,AL,32.9188824,-85.9513726,2899,,6,Alexander City City School District,30,970,0,Alexander City City School District,"375 Lee Street, Alexander City, AL, 35010",https://www.alexcityschools.net/,0.8888888888888888,65a603f5c769fa16f6591562
Pittsburgh,PA,40.4397753,-79.9763331,302971,,2,Pittsburgh city,61000,160,25,City of Pittsburgh,"414 Grant St, Pittsburgh, PA 15219, USA",http://www.pittsburghpa.gov,0.75,6542a355a129cb65b87ae96d
Butler County School District,AL,31.7419758,-86.6645193,2900,,6,Butler County School District,510,970,0,Butler County School District,"211 School Highlands Road, Greenville, AL, 36037",https://www.butlerco.k12.al.us/,0.7096774193548387,65a603f5c769fa16f65914e0
Arlington,VA,38.8783374,-77.1007034,238643,13,5,Arlington County,,50,6,Arlington County,"2100 Clarendon Blvd, Arlington, VA 22201, USA",https://www.arlingtonva.us,0.6470588235294117,6542a36da129cb65b87b2b7f
Clinton,SC,34.4781713,-81.8629675,7633,,5,Clinton city,15295,160,25,City of Clinton,"211 N Broad St A, Clinton, SC 29325, USA",http://www.cityofclintonsc.com/,0.9117647058823529,6542a312a129cb65b87a4e39
Dora,AL,33.7281156,-87.0812917,2297,,6,Dora city,21136,160,25,City of Dora,"Dora Municipal Park, 1445 Sharon Blvd, Dora, AL 35062, USA",https://cityofdora.com,0.6521739130434783,6542a2eca129cb65b87a083e
Greenwood,SC,34.1954089,-82.1536663,22545,,5,Greenwood city,30895,160,25,City of Greenwood,"City Of Greenwood Municipal Building, 520 Monument St, Greenwood, SC 29646, USA",https://www.cityofgreenwoodsc.com/,0.7352941176470589,6542a306a129cb65b87a3a72
Loudoun,VA,39.0812,-77.6388976,420959,107,5,Loudoun County,,50,6,Loudoun County,"1 Harrison St SE, Leesburg, VA 20175, USA",http://www.loudoun.gov/,0.8518518518518519,6542a337a129cb65b87ab235
Powhatan,VA,37.5494041,-77.9128553,30333,145,5,Powhatan County,,50,6,Powhatan County,"3834 Old Buckingham Rd, Powhatan, VA 23139, USA",http://www.powhatanva.gov,0.6923076923076923,6542a337a129cb65b87ab24e
Rockbridge,VA,37.8145174,-79.4477537,22650,163,5,Rockbridge County,,50,6,Rockbridge County,"150 S Main St, Lexington, VA 24450, USA",https://www.co.rockbridge.va.us/,0.8205128205128205,6542a359a129cb65b87af94f
Tallapoosa,AL,32.8633076,-85.7996176,41311,123,6,Tallapoosa County,,50,6,Tallapoosa County,"125 N Broadnax St, Dadeville, AL 36853, USA",https://tallaco.com,0.6538461538461539,65a603f5c769fa16f659147e
Andover,KS,37.6871655,-97.1307531,14892,,4,Andover city,1800,160,25,City of Andover,"1609 E Central Ave, Andover, KS 67002, USA",https://www.andoverks.gov,0.6799999999999999,6542a2e8a129cb65b87a01ea
Brookside,AL,33.6346166,-86.9063142,1253,,6,Brookside town,9736,160,43,Town of Brookside,"2711 Municipal Dr, Brookside, AL 35036, USA",http://www.brooksidealabama.com,0.7045454545454546,6542a306a129cb65b87a3a4b
Dillon,SC,34.4245181,-79.3675387,6384,,5,Dillon city,19420,160,25,City of Dillon,"501 S 1st Ave, Dillon, SC 29536, USA",http://www.cityofdillonsc.us,0.6764705882352942,6542a312a129cb65b87a4e39
Edgefield,SC,33.7764976,-81.9682452,25657,37,5,Edgefield County,,50,6,Edgefield County,"124 Courthouse Square, Edgefield, SC 29824, USA",http://www.edgefieldcounty.sc.gov/,0.6764705882352942,6542a318a129cb65b87a6674
Floyd,VA,36.9314331,-80.3502662,15476,63,5,Floyd County,,50,6,Floyd County,"202 E Main St upper level, Floyd, VA 24091, USA",https://www.floydcova.gov/,0.9285714285714286,6542a31da129cb65b87a72f2
Radford,VA,37.1201194,-80.5591473,16070,,5,Radford city,65392,160,25,City of Radford,"10 Robertson St, Radford, VA 24141, USA",https://www.radfordva.gov/,0.7692307692307692,6542a30ba129cb65b87a3f9e
Tazewell,VA,37.1289382,-81.5065547,4486,,5,Tazewell town,77792,160,43,Town of Tazewell,"211 Central Ave, Tazewell, VA 24651, USA",http://www.townoftazewell.org,0.8055555555555556,6542a368a129cb65b87b1a72
Kodiak,AK,57.7911917,-152.4197123,5581,,9,Kodiak city,40950,160,25,City of Kodiak,"710 Mill Bay Rd # 110, Kodiak, AK 99615, USA",http://www.city.kodiak.ak.us,0.6785714285714286,65a603f5c769fa16f659121d
Limestone,AL,34.8102387,-86.9813995,103570,83,6,Limestone County,,50,6,Limestone County,"310 W Washington St, Athens, AL 35611, USA",https://www.limestonecounty-al.gov,0.7352941176470589,6542a322a129cb65b87a8270
Clark,AR,34.0533162,-93.1762085,21446,19,7,Clark County,,50,6,Clark County,"401 Clay St #2, Arkadelphia, AR 71923, USA",https://clarkcountyar.gov/,0.8666666666666667,65a603f5c769fa16f659150a
Albertville,AL,34.2631303,-86.21066,22386,,6,Albertville city,988,160,25,City of Albertville,"116 W Main St, Albertville, AL 35950, USA",http://www.cityofalbertville.com,0.71875,6542a2e8a129cb65b87a0254
Botetourt,VA,37.5654822,-79.7975457,33596,23,5,Botetourt County,,50,6,Botetourt County,"57 S Center Dr, Daleville, VA 24083, USA",https://www.botetourtva.gov,0.9642857142857143,6542a305a129cb65b87a35af
Brilliant,AL,34.0256705,-87.7690468,845,,6,Brilliant town,9424,160,43,Town of Brilliant,"1275 Main St, Brilliant, AL 35548, USA",https://brilliantal.org,0.696969696969697,6542a306a129cb65b87a38c6
DeKalb County School District,AL,34.4637041,-85.8239929,8717,,6,DeKalb County School District,1140,970,0,DeKalb County School District,"306 Main St W, Rainsville, AL, 35986",https://www.dekalbk12.org/,0.7241379310344828,65a603f5c769fa16f65914e6
Angoon,AK,57.4412574,-134.4783574,357,,9,Angoon city,3440,160,25,City of Angoon,"700 Aandeinaatt St, Angoon, AK 99820, USA",https://cityofangoon.org/,0.88,6542a2eca129cb65b87a083e
Bethel,AK,60.793905,-161.7963225,6325,,9,Bethel city,6520,160,25,City of Bethel,"300 State Hwy, Bethel, AK 99559, USA",http://www.cityofbethel.org,0.75,6542a322a129cb65b87a84a8
Saraland,AL,30.85401,-88.0972017,16171,,6,Saraland city,68160,160,25,City of Saraland,"943 Saraland Blvd S, Saraland, AL 36571, USA",https://saraland.org/,0.6666666666666667,6542a2e8a129cb65b87a0085
Eufaula City School District,AL,31.8871498,-85.1551553,6289,,6,Eufaula City School District,1410,970,0,Eufaula City School District,"333 State Docks Road, Eufaula, AL, 36027",https://www.eufaulacityschools.org/,0.813953488372093,65a603f5c769fa16f65914ef
Agoura Hills,CA,34.1489422,-118.7639301,20299,,9,Agoura Hills city,394,160,25,City of Agoura Hills,"30001 Ladyface Ct, Agoura Hills, CA 91301, USA",https://www.agourahillscity.org/,0.71875,6542a2e8a129cb65b87a034e
Edisto Beach,SC,32.4987191,-80.3134875,1033,,5,Edisto Beach town,23020,160,43,Town of Edisto Beach,"2414 Murray St, Edisto Island, SC 29438, USA",http://www.townofedistobeach.com/,0.75,6542a318a129cb65b87a66c7
Bettles,AK,66.9069009,-151.5379942,23,,9,Bettles city,6630,160,25,City of Bettles,"Bettles, AK 99726, USA",http://commerce.alaska.gov/dca/commdb/CIS.cfm?Comm_Boro_Name=Bettles,0.4411764705882353,65a603f5c769fa16f65911e8
Troy,AL,31.8019595,-85.9671296,17727,,6,Troy city,76920,160,25,City of Troy,"306 E Academy St, Troy, AL 36081, USA",https://www.troyal.gov/,0.8214285714285714,65a603f5c769fa16f659148a
Logan,AR,35.2186538,-93.7209102,21131,83,7,Logan County,,50,6,Logan County,"366 N Broadway Ave, Booneville, AR 72927, USA",https://www.logancountyark.org/,0.7419354838709677,6542a2eaa129cb65b87a06ac
Alhambra,CA,34.0835711,-118.1364436,82868,,9,Alhambra city,884,160,25,City of Alhambra,"111 S 1st St, Alhambra, CA 91801, USA",http://www.cityofalhambra.org/,0.7647058823529411,6542a35fa129cb65b87b0dda
Forsyth,NC,36.1324661,-80.2569608,382590,67,5,Forsyth County,,50,6,Forsyth County,"201 N Chestnut St, Winston-Salem, NC 27101, USA",http://www.forsyth.cc,0.6176470588235294,6542a31da129cb65b87a7415
Virginia Beach,VA,36.7795254,-76.0291418,459470,,5,Virginia Beach city,82000,160,25,City of Virginia Beach,"1, Municipal Center Building 1, 2401 Courthouse Dr, Virginia Beach, VA 23456, USA",https://virginiabeach.gov/,0.8666666666666667,6542a36ca129cb65b87b276a
Aleutians East Borough School District,AK,55.0912911,-162.0418988,211,,9,Aleutians East Borough School District,7,970,0,Aleutians East Borough School District,"100 Mossberry Ln, Sand Point, AK, 99661",http://www.aebsd.org,0.7142857142857143,65a603f5c769fa16f65914ca
Lawrence,AR,36.0410983,-91.1011529,16216,75,7,Lawrence County,,50,6,Lawrence County,"315 W Main St Room 2, Walnut Ridge, AR 72476, USA",https://www.lawrencecountyarkansas.com/,0.8863636363636364,65a603f5c769fa16f6591526
Poinsett,AR,35.5688702,-90.6811037,22965,111,7,Poinsett County,,50,6,Poinsett County,"401 Market St, Harrisburg, AR 72432, USA",https://www.poinsettar.gov,0.6923076923076923,6542a337a129cb65b87ab24e
Clemson,SC,34.6838262,-82.8124067,17681,,5,Clemson city,14950,160,25,City of Clemson,"1250 Tiger Blvd # 1, Clemson, SC 29631, USA",https://clemsoncity.org/,0.625,6542a2eca129cb65b87a083e
Cottonwood,AL,31.0540333,-85.2995597,1048,,6,Cottonwood town,17824,160,43,Town of Cottonwood,"12769 Cottonwood Rd, Cottonwood, AL 36320, USA",http://www.cottonwoodalabama.com,0.7575757575757576,6542a306a129cb65b87a380a
Dauphin Island,AL,30.2509134,-88.1712682,1778,,6,Dauphin Island town,19744,160,43,Town of Dauphin Island,"1011 Bienville Blvd, Dauphin Island, AL 36528, USA",http://www.townofdauphinisland.org,0.7727272727272727,6542a315a129cb65b87a5a4c
Abbeville,SC,34.178544,-82.3776868,4874,,5,Abbeville city,100,160,25,City of Abbeville,"Abbeville, SC 29620, USA",http://www.abbevillecitysc.com/,0.6595744680851063,6542a2e8a129cb65b879ffec
Airway Heights,WA,47.6459431,-117.5791969,10757,,9,Airway Heights city,905,160,25,City of Airway Heights,"13120 W 13th Ave, Airway Heights, WA 99001, USA",https://cawh.org/,0.7,6542a2e8a129cb65b87a0085
Beaufort,SC,32.4580854,-80.7225433,13607,,5,Beaufort city,4690,160,25,City of Beaufort,"1911 Boundary St, Beaufort, SC 29902, USA",https://www.cityofbeaufort.org/,0.7741935483870968,6542a322a129cb65b87a84a8
Cheraw,SC,34.6978945,-79.9139687,5040,,5,Cheraw town,13600,160,43,Town of Cheraw,"200 Market St, Cheraw, SC 29520, USA",http://www.cheraw.com/,0.6818181818181819,6542a30ba129cb65b87a3f9e
Florence,SC,34.0285346,-79.7102329,137059,41,5,Florence County,,50,6,Florence County,"180 N Irby St, Florence, SC 29501, USA",https://www.florenceco.org/,0.7714285714285715,6542a31da129cb65b87a72b2
Glencoe,AL,33.9483393,-85.9336056,5372,,6,Glencoe city,29992,160,25,City of Glencoe,"201 Chastain Blvd W, Glencoe, AL 35905, USA",https://cityofglencoe.org/,0.8387096774193549,6542a321a129cb65b87a7dbc
Holly Hill,SC,33.3244402,-80.4130622,1298,,5,Holly Hill town,34360,160,43,Town of Holly Hill,"Peake St, Holly Hill, SC 29059, USA",https://hollyhill.sc.gov/,0.6799999999999999,6542a2e8a129cb65b87a03af
Washington,PA,40.2000054,-80.2521319,209349,125,2,Washington County,,50,6,Washington County,"100 W Beau St # 702, Washington, PA 15301, USA",https://www.washingtoncopa.gov/,0.9117647058823529,6542a36da129cb65b87b2b7f
California,CA,37.1551773,-119.5434183,39538223,,9,California,,40,0,California,,https://www.ca.gov/,1.0,6542a30ba129cb65b87a3f9e
New Philadelphia,OH,40.4864844,-81.4401512,17677,,3,New Philadelphia city,55216,160,25,City of New Philadelphia,"150 E High Ave, New Philadelphia, OH 44663, USA",http://www.newphilaoh.com/,0.7027027027027026,6542a347a129cb65b87ad1f6
England,AR,34.5454313,-91.9674419,2477,,7,England city,21730,160,25,City of England,"110 NW 2nd St, England, AR 72046, USA",http://www.cityofengland.org/contacts.html,1.0,65a603f5c769fa16f65915e3
Dothan,AL,31.2336983,-85.4068225,71072,,6,Dothan city,21184,160,25,City of Dothan,"126 N St Andrews St, Dothan, AL 36303, USA",http://www.dothan.org,0.7,6542a316a129cb65b87a6020
Greenwood,SC,34.1557959,-82.1278759,69351,47,5,Greenwood County,,50,6,Greenwood County,"125 Willard Rd, Greenwood, SC 29649, USA",https://www.greenwoodcounty-sc.gov,0.8292682926829268,6542a322a129cb65b87a8475
Prosperity,SC,34.2133723,-81.528386,1178,,5,Prosperity town,58705,160,43,Town of Prosperity,"305 N Main St, Prosperity, SC 29127, USA",http://www.prosperitysc.com/,0.736842105263158,6542a357a129cb65b87af019
Vienna,VA,38.8985761,-77.2583226,16473,,5,Vienna town,81072,160,43,Town of Vienna,"127 Center St S, Vienna, VA 22180, USA",https://www.viennava.gov/,0.76,6542a2e8a129cb65b87a01bd
Petersburg,AK,57.1124581,-133.0085979,3398,195,9,Petersburg Borough,,50,4,Petersburg Borough,"12 S Nordic Dr, Petersburg, AK 99833, USA",https://www.petersburgak.gov/,0.7241379310344828,6542a305a129cb65b87a35af
Anchorage,AK,61.1742503,-149.2843294,291247,,9,Anchorage municipality,3000,160,37,Municipality of Anchorage,"632 W 6th Ave, Anchorage, AK 99501, USA",http://www.muni.org/,0.8333333333333334,6542a2eaa129cb65b87a05fa
Kansas,KS,38.4985464,-98.3834298,2937880,,4,Kansas,,40,0,Kansas,,https://portal.kansas.gov,0.8928571428571429,65a603f5c769fa16f6591531
Elkins,AR,36.017217,-94.0234965,3602,,7,Elkins city,21190,160,25,City of Elkins,"1874 Stokenbury Rd, Elkins, AR 72727, USA",https://elkins.arkansas.gov/,0.7857142857142857,65a603f5c769fa16f6591531
